@relation ps_c8_a_15_t_all
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MMTBE  real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
76.50, 78.30, 5.80, 19.70, 3.67, 0.70, 100 
79.80, 79.10, 5.30, 24.50, 3.69, 0.00, 100 
94.10, 84.70, 20.10, 27.80, 1.50, 0.00, 201 
94.50, 85.20, 16.00, 29.70, 1.81, 2.20, 201 
93.00, 84.40, 17.70, 26.50, 1.40, 0.00, 201 
93.20, 84.40, 19.70, 28.20, 1.31, 0.00, 201 
93.60, 83.70, 15.40, 31.80, 1.68, 0.00, 201 
93.30, 83.60, 14.70, 31.80, 1.60, 0.00, 201 
93.40, 84.90, 18.40, 27.90, 1.66, 0.00, 201 
93.50, 84.50, 16.80, 30.00, 1.96, 0.00, 201 
93.80, 84.70, 16.50, 31.60, 2.04, 0.00, 201 
93.10, 83.70, 18.30, 29.60, 1.32, 0.00, 201 
95.70, 87.20, 14.00, 27.40, 1.63, 3.90, 201 
93.90, 85.80, 15.20, 30.70, 2.13, 0.40, 201 
94.00, 84.70, 13.40, 31.70, 1.97, 0.90, 201 
93.90, 84.20, 13.20, 32.70, 1.93, 0.00, 201 
94.30, 83.70, 15.50, 31.00, 1.79, 2.40, 201 
95.20, 86.00, 19.70, 26.80, 1.85, 0.70, 201 
94.60, 86.30, 17.80, 28.40, 1.71, 0.70, 201 
93.70, 83.50, 15.70, 29.40, 1.46, 0.00, 201 
94.80, 85.00, 16.20, 28.50, 1.75, 1.20, 201 
94.70, 86.10, 17.10, 27.00, 1.71, 3.70, 201 
94.70, 85.10, 17.50, 28.80, 1.60, 2.20, 201 
94.60, 86.00, 17.10, 27.00, 1.72, 3.70, 201 
93.90, 84.10, 18.80, 27.90, 1.76, 0.00, 201 
93.80, 85.00, 16.50, 27.40, 1.82, 0.70, 201 
94.30, 85.70, 18.50, 27.80, 1.69, 0.00, 201 
94.80, 86.90, 16.70, 27.50, 1.67, 2.00, 201 
93.90, 85.20, 18.00, 28.70, 1.75, 0.00, 201 
94.20, 84.70, 17.50, 28.00, 1.73, 0.00, 201 
94.40, 84.20, 14.20, 29.50, 1.56, 1.80, 201 
93.70, 83.70, 14.80, 29.50, 1.52, 0.00, 201 
94.70, 84.20, 14.70, 29.10, 1.57, 2.00, 201 
94.90, 85.10, 19.60, 28.60, 1.78, 0.00, 201 
94.40, 85.70, 19.10, 28.70, 1.97, 0.00, 201 
93.80, 84.10, 18.90, 29.10, 1.81, 0.00, 201 
93.60, 84.30, 19.20, 28.40, 1.91, 0.00, 201 
95.00, 86.00, 19.40, 25.80, 1.42, 1.30, 201 
94.90, 86.00, 19.30, 25.90, 1.43, 1.40, 201 
94.90, 86.00, 19.30, 25.90, 1.43, 1.40, 201 
94.80, 83.90, 18.30, 28.70, 1.66, 0.00, 201 
94.80, 84.70, 17.30, 28.10, 1.79, 0.70, 201 
94.60, 84.80, 17.40, 27.90, 1.81, 0.70, 201 
94.50, 85.80, 17.90, 28.20, 1.78, 0.70, 201 
95.00, 86.40, 19.60, 26.00, 1.38, 0.90, 201 
94.60, 84.50, 17.20, 28.10, 1.75, 0.60, 201 
95.50, 84.20, 17.90, 29.20, 1.91, 0.00, 201 
94.50, 84.90, 19.40, 27.90, 1.99, 0.00, 201 
95.20, 84.40, 19.00, 27.50, 1.91, 0.00, 201 
93.50, 84.50, 19.40, 27.90, 1.95, 0.00, 201 
95.70, 84.80, 17.30, 28.40, 1.90, 0.00, 201 
95.50, 84.70, 19.70, 28.90, 1.86, 0.00, 201 
94.50, 84.80, 18.10, 27.40, 1.80, 0.00, 201 
94.40, 86.00, 18.20, 27.80, 1.75, 0.00, 201 
94.50, 85.70, 16.40, 29.80, 2.03, 0.00, 201 
95.20, 84.70, 18.00, 28.90, 2.07, 0.00, 201 
94.10, 85.10, 18.80, 29.00, 1.94, 0.00, 201 
94.80, 90.60, 15.10, 24.20, 1.57, 0.00, 201 
94.80, 84.30, 18.60, 28.10, 1.80, 0.00, 201 
94.30, 85.10, 19.20, 28.70, 1.83, 0.00, 201 
94.30, 85.20, 18.60, 29.00, 1.93, 0.00, 201 
95.40, 84.70, 18.20, 28.50, 2.01, 0.00, 201 
95.80, 84.80, 18.00, 28.80, 2.01, 0.00, 201 
95.80, 85.20, 15.60, 31.30, 2.23, 1.90, 201 
