@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
96.20, 85.60, 14.30, 46.80, 32.00, 0.68, 7.50, 10.50, 1.27, 0.00, 0.00, 6.60, 0.00, 0.00, 0.00, 3.00, 301 
96.80, 86.00, 14.50, 42.60, 33.50, 0.78, 6.30, 14.20, 1.75, 0.00, 0.20, 8.80, 0.00, 0.00, 0.00, 3.00, 301 
97.00, 85.90, 17.40, 44.90, 29.40, 0.54, 6.00, 10.80, 1.53, 0.00, 0.00, 8.00, 0.00, 0.00, 0.00, 3.00, 301 
96.70, 85.20, 17.70, 45.80, 30.10, 0.63, 5.10, 12.70, 1.20, 0.00, 0.00, 6.30, 0.00, 0.00, 0.00, 2.00, 301 
97.00, 85.90, 18.00, 45.10, 29.20, 0.55, 6.00, 11.00, 1.42, 0.00, 0.00, 7.40, 0.00, 0.00, 0.00, 3.00, 301 
95.50, 85.90, 9.50, 47.10, 28.20, 0.41, 7.00, 6.50, 2.71, 0.00, 0.00, 12.70, 0.60, 1.10, 0.80, 0.00, 301 
96.70, 86.80, 10.20, 49.80, 22.70, 0.32, 6.00, 4.10, 3.10, 0.00, 0.00, 15.00, 0.00, 1.40, 0.90, 0.00, 301 
94.80, 85.40, 10.40, 47.60, 24.90, 0.35, 6.60, 4.90, 3.08, 0.00, 0.00, 15.00, 0.00, 1.00, 1.20, 0.00, 301 
94.10, 85.60, 10.70, 48.90, 24.50, 0.39, 6.60, 5.00, 2.83, 0.00, 0.00, 13.90, 0.00, 0.90, 1.00, 0.00, 301 
93.50, 84.40, 11.10, 46.10, 24.60, 0.19, 6.10, 5.50, 3.27, 0.00, 0.00, 15.70, 0.00, 1.30, 1.30, 0.00, 301 
95.10, 84.70, 11.20, 42.40, 28.70, 0.28, 7.40, 6.70, 3.15, 0.00, 0.00, 15.10, 0.00, 1.20, 1.30, 0.00, 301 
96.00, 85.00, 12.40, 41.90, 27.30, 0.48, 6.50, 6.40, 3.30, 0.00, 0.00, 16.00, 0.00, 1.20, 1.20, 0.00, 301 
94.40, 85.60, 10.10, 48.60, 24.50, 0.35, 6.70, 4.90, 3.02, 0.00, 0.00, 14.90, 0.00, 1.00, 0.90, 0.00, 301 
94.30, 85.50, 10.30, 48.30, 24.70, 0.35, 6.70, 4.90, 3.02, 0.00, 0.00, 14.90, 0.00, 1.00, 0.90, 0.00, 301 
93.90, 85.50, 10.40, 49.90, 24.40, 0.39, 6.60, 5.00, 2.75, 0.00, 0.00, 13.50, 0.00, 0.90, 0.90, 0.00, 301 
94.90, 85.00, 10.50, 48.30, 24.30, 0.37, 6.40, 5.00, 3.04, 0.00, 0.00, 15.00, 0.00, 1.00, 0.90, 0.00, 301 
93.70, 85.30, 10.50, 50.10, 24.50, 0.31, 6.50, 5.20, 2.67, 0.00, 0.00, 13.10, 0.00, 0.90, 0.90, 0.00, 301 
95.00, 85.00, 10.80, 47.60, 23.80, 0.32, 6.20, 4.50, 3.20, 0.00, 0.00, 15.90, 0.00, 1.00, 0.90, 0.00, 301 
94.70, 85.20, 11.10, 48.20, 24.00, 0.33, 6.50, 4.90, 3.00, 0.00, 0.00, 14.80, 0.00, 0.90, 1.00, 0.00, 301 
94.70, 85.20, 11.10, 48.20, 24.00, 0.33, 6.50, 4.90, 3.00, 0.00, 0.00, 14.80, 0.00, 0.90, 1.00, 0.00, 301 
94.80, 85.30, 11.20, 47.00, 24.60, 0.34, 6.80, 4.80, 3.07, 0.00, 0.00, 15.10, 0.00, 1.00, 1.00, 0.00, 301 
95.70, 86.20, 10.00, 49.10, 25.20, 0.11, 6.60, 4.90, 2.79, 0.00, 0.00, 13.10, 0.60, 1.30, 0.60, 0.00, 301 
94.80, 85.20, 10.10, 48.40, 25.80, 0.12, 6.70, 5.40, 2.80, 0.00, 0.00, 13.60, 0.40, 1.00, 0.60, 0.00, 301 
95.20, 85.60, 10.60, 47.80, 26.10, 0.24, 6.90, 5.50, 2.76, 0.00, 0.00, 13.50, 0.40, 0.80, 0.70, 0.00, 301 
95.20, 85.60, 10.60, 47.80, 26.10, 0.24, 6.90, 5.50, 2.76, 0.00, 0.00, 13.50, 0.40, 0.80, 0.70, 0.00, 301 
96.50, 86.90, 10.60, 49.00, 25.90, 0.38, 6.80, 5.20, 2.59, 0.00, 0.00, 12.40, 0.40, 0.90, 0.80, 0.00, 301 
95.00, 85.30, 10.70, 46.10, 24.80, 0.32, 6.40, 4.60, 3.30, 0.00, 0.00, 16.00, 0.30, 1.50, 0.60, 0.00, 301 
97.00, 86.90, 10.80, 48.00, 25.70, 0.23, 6.50, 4.80, 2.77, 0.00, 0.00, 12.90, 0.80, 1.30, 0.50, 0.00, 301 
95.50, 85.10, 10.90, 44.80, 26.50, 0.43, 6.30, 5.90, 3.19, 0.00, 0.00, 15.30, 0.90, 1.00, 0.60, 0.00, 301 
95.50, 85.40, 10.90, 48.60, 33.80, 0.78, 7.60, 11.20, 1.30, 0.00, 0.30, 5.90, 0.00, 0.00, 0.40, 0.00, 301 
95.20, 84.70, 10.90, 43.60, 27.50, 0.43, 6.40, 6.20, 3.22, 0.00, 0.00, 15.20, 1.10, 1.20, 0.50, 0.00, 301 
95.10, 85.50, 11.40, 46.70, 25.40, 0.26, 6.40, 4.80, 2.82, 0.00, 0.00, 13.80, 0.50, 0.90, 0.60, 0.00, 301 
95.30, 85.30, 11.50, 47.40, 24.30, 0.44, 6.00, 4.80, 3.01, 0.00, 0.00, 14.70, 0.00, 1.30, 0.80, 0.00, 301 
95.00, 85.40, 9.40, 51.00, 25.70, 0.70, 5.40, 6.00, 2.52, 0.00, 0.00, 13.30, 0.00, 0.30, 0.30, 0.00, 301 
95.50, 86.20, 11.80, 48.30, 26.50, 0.51, 5.20, 11.40, 2.43, 0.00, 0.00, 13.00, 0.00, 0.00, 0.40, 0.00, 301 
95.80, 86.10, 11.90, 48.80, 26.30, 0.42, 5.60, 11.20, 2.36, 0.00, 0.00, 12.60, 0.00, 0.00, 0.40, 0.00, 301 
96.00, 86.00, 12.10, 47.10, 27.50, 0.63, 5.80, 9.90, 2.41, 0.00, 0.00, 12.80, 0.00, 0.00, 0.50, 0.00, 301 
96.20, 86.20, 12.20, 46.50, 27.90, 0.56, 4.70, 12.50, 2.44, 0.00, 0.00, 13.10, 0.00, 0.00, 0.30, 0.00, 301 
